fecha,condicion,maxima,minima,observaciones
10/14/25,Sunny,24,18,Breezy por la mañana
10/15/25,Sun through high clouds,26,17,Cielo con nubes altas
10/16/25,Blend of sun and clouds,27,16,Mezcla de sol y nubes
10/17/25,Considerable clouds,22,12,"Nubes considerables, algo viento"
10/18/25,Mostly sunny,22,13,Mayormente soleado y agradable
10/19/25,Sunshine and some clouds,22,14,Soleado con algunas nubes
10/20/25,Mostly sunny,24,16,Mayormente soleado
10/21/25,Partly sunny,28,18,Parcialmente soleado
10/22/25,Sunny to partly cloudy,27,18,Soleado a parcialmente nublado
10/23/25,Sun and clouds,22,15,Sol y nubes; más fresco
