

Club,Cancha,Tee,Rating,Sexo,Slope
Jockey Club Argentino,Albatros,Rojo,65.9,C,107
Jockey Club Argentino,Azul,Negro,70.4,C,121
Jockey Club Argentino,Azul,Azul,70.2,C,123
Jockey Club Argentino,Azul,Blanco,69.1,C,120
Jockey Club Argentino,Azul,Amarillo,67.5,C,111
Jockey Club Argentino,Central,Azul,69.4,C,123
Jockey Club Argentino,Central,Blanco,68.4,C,120
Jockey Club Argentino,Central,Amarillo,66.9,C,113
Jockey Club Argentino,Colorada,Negro,72.9,C,123
Jockey Club Argentino,Colorada,Rojo,71.1,C,122
Jockey Club Argentino,Colorada,Blanco,70.1,C,122
Jockey Club Argentino,Colorada,Amarillo,69.1,C,122
Jockey Club Argentino,Junior,Celeste,63.0,C,102
Jockey Club Argentino,Junior,Verde,58.0,C,109


